Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Stellenwert und Bedeutung der Quartierzeitungen für die Medienvielfalt und die Identitätsstiftung der Quartiere sowie Kriterien für die Berücksichtigung bei den städtischen Publikationen,Schriftliche Anfrage,59510f153e2843a7a18ba5559fb148c2,2014-01-08T00:00:00.000,Michael Kraft,SP,,,Abgeschlossen,,
"Umsetzung der Bewilligungspflicht des «Hooligan-Konkordats», Sicherheitsauflagen und Kriterien im Zusammenhang mit einem Testspiel des FC Zürich",Schriftliche Anfrage,10fcdfe3849243868504a94906c451a2,2014-01-15T00:00:00.000,Matthias Probst,Grüne,Florian Utz,SP,Abgeschlossen,,
"Verstösse der Vertragspartnerin für die Strassen- und Parkreinigung gegen den Verhaltenskodex der Stadt, Hintergründe und mögliche Massnahmen",Schriftliche Anfrage,bdfe511a27a241ebabe4a7dc69d4d8f4,2014-01-22T00:00:00.000,Walter Angst,AL,Kyriakos Papageorgiou,SP,Abgeschlossen,,
"Parkanlage Platzspitz, durchgehende Öffnung des Parks",Postulat,ad634817495f4993bc91ca11a025a609,2014-01-22T00:00:00.000,Linda Bär,SP,Michael Kraft,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Personen mit unterschiedlicher Wohnsitz- und Steuerpflicht, Ausmass und geltende Regelungen",Schriftliche Anfrage,dd5d3bf44263494aab83686a4bd58e7b,2014-01-29T00:00:00.000,Gabriela Rothenfluh,SP,Pawel Silberring,SP,Abgeschlossen,,
"Juliastrasse, Einrichtung einer Begegnungszone oder einer autofreien Strasse",Postulat,1ae08ec9dfc0465ba1c5491de2584218,2014-02-05T00:00:00.000,Jean-Daniel Strub,SP,Martin Luchsinger,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Teilrevision der Bau- und Zonenordnung (BZO), Folgen der negativen Vorwirkung für die eingereichten Baugesuche",Schriftliche Anfrage,e67c768f1c224330b68b363599ccb9be,2014-02-05T00:00:00.000,Marco Denoth,SP,Heinz F. Steger,FDP,Abgeschlossen,,
"Gewinnsteuerpflicht der beiden Grossbanken UBS und CS, Ausmass und Auswirkungen der Verlustvorträge aus dem Jahr 2008",Schriftliche Anfrage,2b5a83e99e154f3abe53cda245c7e8a0,2014-02-05T00:00:00.000,Min Li Marti,SP,Florian Utz,SP,Abgeschlossen,,
Eigener Termin für die Erneuerungswahlen des Stadt- und Gemeinderats,Postulat,b78c8d83f08b438ca62f7d62f6aafb2d,2014-02-26T00:00:00.000,Peter Küng,SP,Jean-Daniel Strub,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Durchgehende Veloverbindung aus dem Lettenquartier durch die Rousseaustrasse bis zur Nordbrücke,Postulat,94f2be0b2acd4eab8e6d7c743304b799,2014-03-05T00:00:00.000,Simone Brander,SP,Guido Trevisan,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Revision des Art. 16 der Ausführungsbestimmungen zum städtischen Personalrecht (AB PR) betreffend der städtischen Personalvermittlung als Folge von Reorganisationen und aus gesundheitlichen Gründen,Postulat,148ad2aca4b94e7d8530b6056a95aa23,2014-03-12T00:00:00.000,Duri Beer,SP,Peider Filli,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Bahnhof Tiefenbrunnen, Verbesserung der Umgebung, der Zugänglichkeit, der Aufenthaltsqualität sowie des Quartiernutzens",Postulat,d8ac0cae80f8429e89500eff9f4d99b2,2014-03-26T00:00:00.000,Eva-Maria Würth,SP,Karin Weyermann,Die Mitte,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Ersatzneubau der Turnhalle auf dem Gelände des Schulhauses Hofacker, Erhalt der Grösse des nutzbaren Aussenraums",Postulat,8cccb09a4f5646d2b819211c0c9d6aea,2014-04-02T00:00:00.000,Christina Hug,Grüne,Jean-Daniel Strub,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Städtische Liegenschaft am Stauffacherquai 3, Hintergründe zur Neunutzung als Boutique-Hotel",Schriftliche Anfrage,9019a23d3f0c4ae58004c5c9a7ca3f61,2014-04-02T00:00:00.000,Patrick Hadi Huber,SP,Katrin Wüthrich,SP,Abgeschlossen,,
"Schaffung von Zonen mit Anordnungen zur Nutzung erneuerbarer Energien im Rahmen des kantonalen Planungs- und Baugesetzes (PBG), Anwendung der neuen Option in der Stadt",Schriftliche Anfrage,456ec36e4e884bf4b5f92d52c3c2e73a,2014-04-02T00:00:00.000,Matthias Probst,Grüne,Andreas Edelmann,SP,Abgeschlossen,,
Markierung eines Fussgängerstreifens auf der Albisriederstrasse auf der Höhe Lyrenweg/Im Kratz,Postulat,f7e12a00e98547fd88f545abaf950f8a,2014-04-09T00:00:00.000,Pascal Lamprecht,SP,Alan David Sangines,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Kennzeichnung des FKK-Bereichs auf der Werdinsel,Postulat,8642a80968e14e3689f550b84f2fd7fe,2014-04-16T00:00:00.000,Alan David Sangines,SP,Gabriela Rothenfluh,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Areal des GZ Leimbach, Einrichtung einer öffentlichen Kinderkrippe",Postulat,ad1559274c8a488bbdd8482f440277c3,2014-04-16T00:00:00.000,Pawel Silberring,SP,Christian Traber,Die Mitte,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Energieplanungsbericht des Kantons Zürich, Folgen für die energie- und klimaschutzpolitischen Absichten der Stadt",Schriftliche Anfrage,f3f9395c83d84f62ade89d5fb5a4895e,2014-04-16T00:00:00.000,Helen Glaser,SP,Alexander Jäger,FDP,Abgeschlossen,,
"Geschäftsordnung des Gemeinderats (GeschO GR), Eröffnung der konstituierenden Ratssitzung des Gemeinderats durch das amtsälteste und das jüngste
anwesende Mitglied",Beschlussantrag,7a21264cf51440c08c2684856cdf01c5,2014-05-14T00:00:00.000,Linda Bär,SP,Marcel Savarioud,SP,Abgeschlossen,,
"Binz-Quartier, bessere Erschliessung für den Fuss- und Veloverkehr",Postulat,7daa0d8385344b4b9a9dc5ef06246bc9,2014-05-14T00:00:00.000,Andreas Edelmann,SP,Rebekka Wyler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Rettungsfahrzeuge von Schutz und Rettung sowie Einsatzfahrzeuge der Stadtpolizei, Ausrüstung mit einem Verkehrspriorisierungssystem",Postulat,5766456cbc324a33875caaf9b08dbd93,2014-05-21T00:00:00.000,Marcel Bührig,Grüne,Simone Brander,SP,Abgeschlossen,Rückzug,Rückzug
Erhöhung der Anzahl von Kontingentflüchtlingen aus Syrien sowie Lockerung der Einreisebestimmungen,Postulat,7fa0b4f827b84a92a4a746b13dc1efa7,2014-06-11T00:00:00.000,Alan David Sangines,SP,Matthias Probst,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Errichtung einer Kapphaltestelle am Stauffacher für die in Richtung Hardplatz fahrenden Trams der Linie 8,Postulat,4a94d65a8c9b4fe2ac8bf2429fc3770e,2014-06-11T00:00:00.000,Peter Küng,SP,Gian von Planta,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Provisorisches Polizeigefängnis (PROPOG) auf dem Kasernenareal, Hintergründe zur mehrmals verlängerten Baubewilligung",Schriftliche Anfrage,d2f3b95dcc8047b6acc17807c2b701c3,2014-06-18T00:00:00.000,Patrick Hadi Huber,SP,Peter Küng,SP,Abgeschlossen,,
"Beistandschaft bei Frauenpaaren in eingetragener Partnerschaft, welche ein Kind zur Welt bringen, bisherige Erfahrungen und Anpassung der Praxis an die neue Sorgerechtsregelung",Schriftliche Anfrage,0d4a504939b44217b26b52f5b6d89f33,2014-06-18T00:00:00.000,Simone Brander,SP,,,Abgeschlossen,,
Erweiterung der Gültigkeit der Jahres-Gewerbeparkkarte,Postulat,699683e7fa9d481cb91fcb4790007640,2014-06-18T00:00:00.000,Pawel Silberring,SP,Heinz F. Steger,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Areal an der Ecke Baumgartner-, Zweier- und Freyastrasse, Vorlage für eine kommunale Wohnüberbauung oder eine Überbauung durch eine gemeinnützige Wohnbaugenossenschaft",Postulat,c8d8ff74aff34a208e8a72bfa65f3aaa,2014-07-02T00:00:00.000,Marcel Schönbächler,CVP,Peter Küng,SP,Abgeschlossen,Ablehnung,Ablehnung
Ausbau des Angebots an öffentlichen Elektrogrills,Postulat,16bf0d4c430843858bafd218b0e16647,2014-07-09T00:00:00.000,Anjushka Früh,SP,Michael Kraft,SP,Abgeschlossen,Ablehnung,Ablehnung
"Zentrumslasten der Stadt, Hintergründe zur finanziellen und strukturellen Benachteiligung sowie Möglichkeiten zur besseren Einflussnahme auf kantonaler und nationaler Ebene",Interpellation,594c6b72ec82473a9dc2fa851258a524,2014-07-09T00:00:00.000,Christine Seidler,SP,Linda Bär,SP,Abgeschlossen,,
Verlegung der Haltestelle der Buslinien 61 und 62 beim Bahnhof Affoltern auf die nördliche Seite der Gleise,Postulat,27e131333f9d4a80902d745ca2ae77f4,2014-08-27T00:00:00.000,Hans Jörg Käppeli,SP,Andreas Kirstein,AL,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Gedenkanlass zum 70. Jahrestag des Kriegsendes,Postulat,d4c300f8ca2c40929b05a7836eb7e578,2014-08-27T00:00:00.000,Rebekka Wyler,SP,,,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Strassenlärmsanierung in der Stadt Zürich, Hintergründe zu den zusätzlichen Tests für lärmarme Strassenbeläge als Sanierungsmassnahme",Interpellation,ed4ee44558f945a28c0a363081ea0d0d,2014-09-03T00:00:00.000,Markus Knauss,Grüne,Simone Brander,SP,Abgeschlossen,,
Rechtliche Regelung der privaten Überwachung des öffentlichen Raums durch Videokameras,Postulat,98f919a53c774b0c9a1fc439bc71fcae,2014-09-03T00:00:00.000,Peter Küng,SP,Florian Utz,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Tram-/Bus-Haltestelle beim Bahnhofplatz Süd in Oerlikon, Gründe für die nicht versetzte Anordnung der Haltekanten sowie die Nichtberücksichtigung der Aufträge des Gemeinderats",Schriftliche Anfrage,91787c90926941f2b94d96dc002dbba2,2014-09-10T00:00:00.000,Hans Jörg Käppeli,SP,,,Abgeschlossen,,
"Angekündigte Mieterhöhungen für Geschäfte am Werdmühleplatz, Ausmass sowie strategische Absicht",Schriftliche Anfrage,f2a30201af794139865970e3ba562e88,2014-10-22T00:00:00.000,Pawel Silberring,SP,Rebekka Wyler,SP,Abgeschlossen,,
"Schulraumpavillon bei der Schule Entlisberg, Prüfung alternativer Standorte",Schriftliche Anfrage,6d1a3c9b27ad4471b7d588cac88cf3e3,2014-10-22T00:00:00.000,Renate Fischer,SP,Eduard Guggenheim,AL,Abgeschlossen,,
Realisierung von zusätzlichen Abenteuerspielplätzen in der Stadt,Postulat,09389dd20d8147a38f17aaf9ba0ab9a1,2014-10-22T00:00:00.000,Pascal Lamprecht,SP,Nicolas Esseiva,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Zusätzliche Recyclingmöglichkeiten für PET und Aluminium in der Innenstadt und an stark frequentierten Orten,Postulat,90b7d736cce84c0092c84b3d27d5ba5f,2014-11-05T00:00:00.000,Anjushka Früh,SP,Linda Bär,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Verbreiterung der Langstrassenunterführung für Velofahrende und Fussgängerinnen und Fussgänger,Postulat,fe56dfd355664be29709d8a7cb4c717a,2014-11-05T00:00:00.000,Markus Knauss,Grüne,Simone Brander,SP,Abgeschlossen,Rückzug,Rückzug
"Verbindungen über das Gleisfeld für Fussgängerinnen und Fussgänger sowie Velofahrende zwischen Hardbrücke und dem Hauptbahnhof, Bericht über die Priorisierung und Finanzierung der Projekte",Postulat,da3689a5852944ed841719daff311558,2014-11-05T00:00:00.000,Simone Brander,SP,Markus Knauss,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Private Sicherheitsdienste in der Zürcher Innenstadt, Rahmenbedingungen für deren Tätigkeiten, Ausrüstung, Bewaffnung und Kontrolle",Schriftliche Anfrage,1c21519fe6844f50b65e1843fb00d6a6,2014-11-12T00:00:00.000,Marianne Aubert,SP,Markus Knauss,Grüne,Abgeschlossen,,
"Repressive Massnahmen der städtischen Behörden gegen die Homosexuellenbewegung, Hintergründe sowie Möglichkeiten für eine historische Aufarbeitung",Schriftliche Anfrage,0881d69dcf79466ab707992fa73cbebd,2014-11-19T00:00:00.000,Marcel Bührig,Grüne,Patrick Hadi Huber,SP,Abgeschlossen,,
"Umnutzung des Schulhauses Hohl, Aufrechterhaltung des bestehenden Pausenplatzes sowie der bestehenden Verbindung zwischen den Schulhäusern Kern und Brauer zum Queren und zum Spielen",Postulat,84af234aafe244599f72137934055f09,2014-12-03T00:00:00.000,Patrick Hadi Huber,SP,Markus Knauss,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Schulhaus Hohl, Konzepte für eine Umnutzung und eine Umgestaltung der Aussenräume sowie beabsichtigte Information der Quartierbevölkerung",Schriftliche Anfrage,f83ae368e5d64320a3d4c9ad3750ff58,2014-12-03T00:00:00.000,Markus Knauss,Grüne,Patrick Hadi Huber,SP,Abgeschlossen,,
"Neuregelung des Anspruchs auf einen bezahlten Vaterschaftsurlaub sowie Einführung eines unbezahlten Elternurlaubs, Änderung des Personalrechts (PR)",Motion,a1e77423a3d84860966c118473988c84,2015-01-21T00:00:00.000,Min Li Marti,SP,Jean-Daniel Strub,SP,Abgeschlossen,Umwandlung in Postulat,Überweisung
"Passantenstopper bei Läden in Seitengassen von Kernzonen, Anpassung der Bewilligungskriterien",Postulat,cf9fa4b2b1a34c78b2870fbb3240397e,2015-01-21T00:00:00.000,Pawel Silberring,SP,Rebekka Wyler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Erfassung und Auswertung der Beschwerden bei der Stadtpolizei sowie mögliche Massnahmen im Bereich der Schulung und Weiterbildung,Schriftliche Anfrage,eb2f9d54d91e423ba221d41e93680e91,2015-01-21T00:00:00.000,Peter Küng,SP,,,Abgeschlossen,,
"Mammutbaum auf dem Stierli-Areal in Seebach, rechtliche Grundlagen und Kriterien für den Schutz",Schriftliche Anfrage,8d8ab7a39eca4daaa2ae5a02a7863258,2015-01-21T00:00:00.000,Mark Richli,SP,,,Abgeschlossen,,
"Umgestaltung des Albisriederplatzes, Berücksichtigung der zusätzlichen Tramlinien, der Hauptroute des Masterplans Velo, der Verkehrsführung für den mobilisierten Individualverkehr sowie einer alternativen Tram-Linienführung nach Altstetten",Interpellation,26eedd134bb04228a61562d1a4a87051,2015-01-28T00:00:00.000,Markus Knauss,Grüne,Hans Jörg Käppeli,SP,Abgeschlossen,,
"Strategische Neuausrichtung der Fachschule Viventa, Hintergründe zu den neuen Vorgaben für das Kursangebot sowie Folgen und allfällige Massnahmen für die betroffenen Lehrpersonen",Schriftliche Anfrage,a669901fb5544ad28cbca699d8615303,2015-01-28T00:00:00.000,Gabriela Rothenfluh,SP,Esther Straub,SP,Abgeschlossen,,
"Änderung der Grundstückgewinnsteuer für Unternehmen, Höhe der bisherigen Einnahmen sowie erwartete Steuerausfälle als Folge der vorgeschlagenen Änderung",Schriftliche Anfrage,205d4c9f063844a49005cee9e2d88c30,2015-01-28T00:00:00.000,Pawel Silberring,SP,Florian Utz,SP,Abgeschlossen,,
Versand der easyvote Abstimmungshilfe an die jungen Stimmberechtigten,Postulat,66e4bf6b17724744b9653fdd24b3c592,2015-02-04T00:00:00.000,Petek Altinay,SP,Christina Hug,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Interkultureller Austausch in der Stadt, Angebote der Stadt und von privaten Institutionen sowie möglicher zusätzlicher Handlungsbedarf",Schriftliche Anfrage,83dfe30d1851452dace18d76db6ca9f7,2015-02-04T00:00:00.000,Anjushka Früh,SP,Michael Kraft,SP,Abgeschlossen,,
"«Öffentlicher Bücherschrank» beim Ausgang der Tramhaltestelle Tierspital, Gründe für die Entfernung des Angebots sowie mögliche Alternativen für weitere Projekte",Schriftliche Anfrage,452f5f6bec1847e082389e6d10335846,2015-02-04T00:00:00.000,Michael Kraft,SP,,,Abgeschlossen,,
"Ausmass der Planungsgewinne als Folge von Ein-, Um- und Aufzonungen und von Infrastruktur-Investitionen sowie Handlungsspielräume für eine Teilabschöpfung der Planungsmehrwerte",Interpellation,a244d385ed54494a8fa0cbd2553d194d,2015-03-04T00:00:00.000,Christine Seidler,SP,,,Abgeschlossen,,
Verbesserung der Bus-Anbindung des Rütihofquartiers an die Stadtbahnhöfe Oerlikon und Altstetten,Postulat,342893df28f54df3ab9ee1ec353194dc,2015-03-11T00:00:00.000,Andrea Nüssli,SP,Simone Brander,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Globalbudget Grün Stadt Zürich, Einführung von Steuerungsgrössen, welche die Menge und die Qualität der ökologisch wertvollen Flächen beschreiben",Globalbudgetantrag,5995558c29fe44f3a47698cf46dae625,2015-03-18T00:00:00.000,Matthias Probst,Grüne,Helen Glaser,SP,Abgeschlossen,"Überweisung, Stadtrat",Überweisung
"Trambeschaffung durch die VBZ, Verbesserung der Zusammenarbeit mit dem ZVV sowie Organisation der Planungsgruppen und Schnittstellen zum Tiefbauamt der Stadt Zürich",Interpellation,6d035cd02e3d4bca93c2ff6eacdb62ae,2015-03-25T00:00:00.000,Hans Jörg Käppeli,SP,,,Abgeschlossen,,
Verbesserung der Zusammenarbeit bei der Planung von Projekten des öffentlichen Verkehrs,Interpellation,ce118003d26d42d9979154e619702eb9,2015-03-25T00:00:00.000,Hans Jörg Käppeli,SP,,,Abgeschlossen,,
"Ausschreibung der Geschäftslokale um den Werdmühleplatz, Angaben zu den Kündigungen der Ladenlokale, zu den Schlichtungsverfahren und zu den neu festgelegten Mietwerten",Interpellation,821ed38a17fb437ead848dd3d8e79a31,2015-04-02T00:00:00.000,Walter Angst,AL,Rebekka Wyler,SP,Abgeschlossen,,
"Sechseläutenplatz, Zulassung von künstlerischen Darbietungen",Postulat,99f73e0630df48e18d83dbacfc927e4d,2015-04-08T00:00:00.000,Linda Bär,SP,Pawel Silberring,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Strassenkunst in der Stadt, Liberalisierung der Praxis",Postulat,59a4d3a2bc0e4ad2909113f431ca1d5b,2015-04-08T00:00:00.000,Petek Altinay,SP,Matthias Probst,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Lohnungleichheit in privatwirtschaftlichen Unternehmen der Stadt, Nachweis der Lohngleichheit in Leistungsverträgen mit der Stadt sowie Stand der Entwicklung eines Controllings und möglicher Massnahmen zur Beseitigung der Lohnungleichheiten",Schriftliche Anfrage,729adfbc54724525b9d46648a1858535,2015-04-08T00:00:00.000,Esther Straub,SP,Gabriela Rothenfluh,SP,Abgeschlossen,,
Verhinderung von auf «Racial Profiling» basierten Kontrollen durch die Stadtpolizei,Postulat,3462414a44094c9185af30f3dc7bffbf,2015-04-15T00:00:00.000,Alan David Sangines,SP,Linda Bär,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Einrichtung von Standorten für die Weitergabe von nicht mehr benutzten Haushaltsgegenständen,Postulat,a7fe4a44e5f04eab9f6f754b8f33594d,2015-04-15T00:00:00.000,Petek Altinay,SP,Nicolas Esseiva,SP,Abgeschlossen,Ablehnung,Ablehnung
Öffnung der Recyclinghöfe Hagenholz und Werdhölzli für die Mitnahme von abgegebenen Haushaltsgegenständen,Postulat,969ca11ab5834b9187940db4277c1a46,2015-04-15T00:00:00.000,Petek Altinay,SP,Nicolas Esseiva,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Buseinfahrt an der Schaffhauserstrasse Höhe Tramendstation Seebach, Verbesserung der Signalisation für die Fussgängerinnen und Fussgänger",Postulat,1ad637425b1d491ba36c2a3bd0b6031a,2015-04-15T00:00:00.000,Michel Urben,SP,Karin Meier-Bohrer,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Kürzungsmassnahmen in den Bereichen Aufgabenstunden und Begabtenförderung, Auswirkungen auf die Chancengleichheit in der Bildung und mögliche 
Entlastungsmassnahmen für die Lehrpersonen",Schriftliche Anfrage,3e3571a567854d2f9891baa7495fd362,2015-04-15T00:00:00.000,Anjushka Früh,SP,,,Abgeschlossen,Rückzug,Rückzug
"Kürzungsmassnahmen in den Bereichen Aufgabenstunden und Begabungs- und Begabtenförderung, Art und Ausmass der Kürzungen sowie Entlastungsmassnahmen für die Lehrpersonen",Schriftliche Anfrage,a7b94d124c874982963b4dc1c2bbe004,2015-05-06T00:00:00.000,Anjushka Früh,SP,,,Abgeschlossen,,
"Sparmassnahmen im Volksschulbereich, Auswirkungen auf den Schulbetrieb und das Budget 2015",Schriftliche Anfrage,ced4e18aaf684d27a619ecae1b339b5c,2015-05-06T00:00:00.000,Rosa Maino,AL,Anjushka Früh,SP,Abgeschlossen,,
"Zulassung von gewissen Motorfahrzeugen mit Elektromotor auf den Mischflächen für den Fuss- und Veloverkehr, Überprüfung der betroffenen Flächen sowie Massnahmen zur Entschärfung möglicher Konflikte",Schriftliche Anfrage,053ef8c1128a433f9a41be52e9f27950,2015-05-06T00:00:00.000,Simone Brander,SP,Simon Kälin-Werth,Grüne,Abgeschlossen,,
"Produktesortiment Energie 360°, Lieferung des Standardprodukts mit einem Anteil Biogas",Postulat,2816ced12e604c758189bd4d388b25bc,2015-05-20T00:00:00.000,Helen Glaser,SP,,,Abgeschlossen,Rückzug,Rückzug
"Polizeimeldungen und Kommunikation der Stadtpolizei, Verzicht auf die Angabe der Nationalität von Täterinnen und Tätern sowie von Opfern",Postulat,4995e34a5f2c4b72a1183767a08a91be,2015-05-20T00:00:00.000,Min Li Marti,SP,Samuel Dubno,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Realisierung der regional klassierten Veloroute zwischen dem Schwamendingerplatz und der Kreuzung Roswiesenstrasse / Dübendorfstrasse,Postulat,50f1ca3bc4e84324b33360af5f871d6c,2015-05-27T00:00:00.000,Roger-Paul Speck,SP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Errichtung von automatischen Velo-Zählstellen mit Visualisierung des Verkehrsaufkommens an ausgewählten Standorten,Postulat,c06bca336a7c401d8edf3f9c789c38e2,2015-06-03T00:00:00.000,Simon Diggelmann,SP,Matthias Probst,Grüne,Abgeschlossen,Rückzug,Rückzug
Einrichtung einer weiteren Kindertagesstätte für das städtische Gesundheitspersonal der Alters- und Pflegezentren und des Stadtspitals Waid,Postulat,4625b642f73e42389ab86fd120e288c7,2015-06-03T00:00:00.000,Marcel Savarioud,SP,Karin Weyermann,Die Mitte,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Strassenlärmsanierung in der Stadt, Resultate der Studie über das «Potential von Temporeduktionen als Lärmschutzmassnahme» sowie Verwendung der Erkenntnisse für die weiteren Lärmsanierungsprojekte",Schriftliche Anfrage,9d37c6dd67d5463593621a032ae5cd9e,2015-06-03T00:00:00.000,Markus Knauss,Grüne,Simone Brander,SP,Abgeschlossen,,
"Tiefe Durchschnittsgeschwindigkeiten der Trams und Busse aufgrund der geringen Haltestellenabstände, mögliche Einsparungen durch eine Erhöhung der durchschnittlichen Geschwindigkeiten sowie Strategie zur Überprüfung der Nutzung der heutigen Haltestellen",Schriftliche Anfrage,f16a926c5fdb4301bd95445520381929,2015-06-10T00:00:00.000,Hans Jörg Käppeli,SP,,,Abgeschlossen,,
"Verlangsamung des öffentlichen Verkehrs in der Stadt, Art und Umfang der Datenerhebung, Bezeichnung der Ursachen sowie Strategien zur möglichen Beschleunigung",Schriftliche Anfrage,d45e40af55274693b8f94d87343b8cec,2015-06-10T00:00:00.000,Hans Jörg Käppeli,SP,,,Abgeschlossen,,
"Neue Linienführungen der Buslinien 37, 61/62, 63 und 75 ab dem Fahrplanwechsel 2015, heutige Passagierfrequenzen der Linien sowie Vor- und Nachteile und Kostenfolgen der künftigen Linienverknüpfungen",Schriftliche Anfrage,8949508d80be434c8d67852d6fc8fa0b,2015-06-10T00:00:00.000,Hans Jörg Käppeli,SP,,,Abgeschlossen,,
Zusätzliche Aufnahme von 300 Flüchtlingen zum ordentlichen Kontingent,Postulat,d3e8920d28cd433d92b5ccdc325b29a1,2015-06-10T00:00:00.000,Alan David Sangines,SP,Rebekka Wyler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Palliative Care-Leistungen in der Stadt, Stand der Umsetzung der diversen Konzepte in den Spitälern und Alters- und Pflegezentren sowie weiterer Handlungsbedarf bezüglich des Zugangs für die gesamte Bevölkerung und der organisierten Freiwilligenarbeit",Schriftliche Anfrage,1b5655c2b13a43e2ad09acf4ef38ad48,2015-06-24T00:00:00.000,Marcel Savarioud,SP,Jean-Daniel Strub,SP,Abgeschlossen,,
"Angebot Deutsch als Zweitsprache auf allen Schulstufen, Art und Umfang der Erhebung der Ansprüche in den Schulkreisen sowie effektive Verwendung der gesprochenen Ressourcen",Schriftliche Anfrage,b4d8edccc18d45d3a7f10553cd8adf79,2015-06-24T00:00:00.000,Katharina Prelicz-Huber,Grüne,Ursula Näf,SP,Abgeschlossen,,
"Limmattalbahn, Vergrösserung des Busvordachs bei der Haltestelle an der Hohlstrasse 561",Postulat,2744e37c54d6488aa2fd907f5340d6b4,2015-07-08T00:00:00.000,Hans Jörg Käppeli,SP,Alan David Sangines,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Strategische Neuausrichtung der Feuerwehr, Stand der Projektierung und Folgen des Konzepts mit dem Bau der neuen Wachen sowie Auswirkungen für die bestehenden Milizorganisationen",Schriftliche Anfrage,d8c02456266946cc8b1ef9cf37f306b9,2015-07-08T00:00:00.000,Marianne Aubert,SP,Thomas Kleger,FDP,Abgeschlossen,,
Entwicklung des Verkehrsaufkommens im Perimeter Albisriederdörfli / Bahnhof Altstetten sowie mögliche Massnahmen für den öffentlichen Verkehr,Schriftliche Anfrage,46a03137e7b8419d89832cf375c83006,2015-07-08T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,,
"Wirtschaftlichkeit und Kostendeckungsgrade der einzelnen Tram- und Buslinien der VBZ, Art und Umfang der erhobenen Daten und Möglichkeiten für deren Veröffentlichung",Schriftliche Anfrage,7f4f554e7b814609bc36b90e3a63e747,2015-08-19T00:00:00.000,Simone Brander,SP,Marc Bourgeois,FDP,Abgeschlossen,,
"Gespräche über einen Gesamtarbeitsvertrag (GAV) für das Personal der Zentralwäscherei Zürich (ZWZ AG), Angaben zu den geführten GAV-Gesprächen und zur Entwicklung der Anstellungsbedingungen für das Personal",Schriftliche Anfrage,7d54ec62a832474a924ef61c18f35962,2015-08-19T00:00:00.000,Markus Kunz,Grüne,Hans Urs von Matt,SP,Abgeschlossen,,
"Einhausung der Autobahn SN 1.4.4 in Schwamendingen, Zeitplan für die Realisierung des Projekts, mögliche Kostensteigerungen als Folge der Verzögerungen und Projektanpassungen sowie Sofortmassnahmen zum Schutz der Bevölkerung",Interpellation,c43b22591c3a4adf984b32dc6285bb98,2015-08-19T00:00:00.000,Marcel Savarioud,SP,Roger Tognella,FDP,Abgeschlossen,,
