Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Alternierende Durchführung des Formula E-Rennens auch in anderen Schweizer Städten,Postulat,c875d343218d4b15a4af6851a7a3fb20,2018-06-13T00:00:00.000,Guy Krayenbühl,GLP,Matthias Wiesmann,GLP,Abgeschlossen,Ablehnung,Ablehnung
"Wahrnehmen einer finanziellen Verantwortung von Unternehmen, die Abzahlungsgeschäfte, Konsumkredite und Leasingverträge anbieten, analog der Vereinbarungen mit Swiss Casinos",Postulat,4bf55b4bbbfe409b8bd9370436910306,2018-06-20T00:00:00.000,Markus Baumann,GLP,Isabel Garcia,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Betriebliche Kennzahlen des Schlachthofs und allfälliger Investitionsbedarf für den Weiterbetrieb bis ins Jahr 2029 sowie Möglichkeiten für eine alternative Nutzung des Areals,Schriftliche Anfrage,f4181fe651224bdfaa344ee9b5d7bbaf,2018-06-27T00:00:00.000,Shaibal Roy,GLP,Guido Hüni,GLP,Abgeschlossen,,
"Erteilung der Bewilligung für ein Gospelfestival einer Freikirche im Bachwiesenpark, Angaben zum Antragsteller und mögliche Kontrolle solcher Anlässe",Schriftliche Anfrage,46745fdaa3d740d788cf329a22f379e1,2018-07-04T00:00:00.000,Pirmin Meyer,GLP,Markus Baumann,GLP,Abgeschlossen,,
"Aufhebung des Schwimmverbots in der Limmat auf der Strecke oder einer Teilstrecke des Limmatschwimmens, Änderung der Allgemeinen Polizeiverordnung unter Berücksichtigung der Interessen der Limmat-Schifffahrt",Motion,b29d97daf827426eb59a265c7c7608b8,2018-07-11T00:00:00.000,Guido Hüni,GLP,Shaibal Roy,GLP,Abgeschlossen,Umwandlung in Postulat,Überweisung
Generationenübergreifende Betreuungsinstitution für Kinder und ältere Menschen im Neubau der Wohnsiedlung Eichrain,Postulat,42865df387844f078cb58c9017213bdb,2018-07-11T00:00:00.000,Corina Gredig,GLP,Marion Schmid,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Einfluss des MIV-Verkehrsaufkommens auf die Fahrplansicherheit von öffentlichen Verkehrsträgern sowie Beurteilung von Massnahmen und neuen Techniken zur Privilegierung und Bevorzugung des öffentlichen Verkehrs,Schriftliche Anfrage,bb3a20a315434b8993679be1b7943340,2018-08-22T00:00:00.000,Ann-Catherine Nabholz,GLP,Sven Sobernheim,GLP,Abgeschlossen,,
Möglichkeiten zur Umgestaltung von stark exponierten öffentlichen Plätzen und Wartezonen des öffentlichen Verkehrs zum besseren Schutz vor Sonne und Hitze sowie Bestrebungen zur Vermeidung von grossen zusammenhängenden versiegelten Flächen,Schriftliche Anfrage,dbb652a67e5440cab93998c0baf366dc,2018-08-29T00:00:00.000,Christian Monn,GLP,Sven Sobernheim,GLP,Abgeschlossen,,
Neue Nutzung für den bisherigen Schiessstand Hasenrain,Postulat,934a9b581be9462a9aedb66872791cb2,2018-09-05T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Sicherere und attraktivere Gestaltung der Velo-Verbindung auf der Witikonerstrasse,Postulat,20496ce8044f408098a45619f0fbc1ca,2018-09-12T00:00:00.000,Balz Bürgisser,Grüne,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Weiterbetrieb des Angebots «Züri rollt» bis zur Systemabnahme des Angebots «Züri Velo» von Publibike,Postulat,425e11c3baeb4babbd649c4c5f0022a1,2018-09-12T00:00:00.000,Sven Sobernheim,GLP,Isabel Garcia,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Betreuungsangebote für Personengruppen mit individuellen Lebensformen im Alter, Konzepte und Massnahmen der Alters- und Pflegezentren, damit diese Menschen weiterhin ihren eigenen Lebensentwurf leben können",Schriftliche Anfrage,f9f562198ce64d449d2c15d62c3a7d62,2018-09-12T00:00:00.000,Markus Baumann,GLP,Isabel Garcia,FDP,Abgeschlossen,,
Systematische Erfassung und Reduzierung der Umweltauswirkung von Mahlzeiten in städtischen Kantinen und Restaurants,Postulat,15f09fe441e3459cbad095127ab36b2b,2018-09-19T00:00:00.000,Matthias Probst,Grüne,Guido Hüni,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Sicherung von qualitativ hochwertigen Grün- und Freiräumen, Möglichkeiten und Vorgaben bezüglich der Berücksichtigung einer ökologisch wertvollen Umgebungsplanung bei städtischen Bauprojekten sowie Beurteilung einer Vorgabe hinsichtlich eines Prozentsatzes der Bausumme für solche Massnahmen",Schriftliche Anfrage,967bcc8f7dc84e01a1dcf647792f6f1a,2018-10-03T00:00:00.000,Ann-Catherine Nabholz,GLP,Sven Sobernheim,GLP,Abgeschlossen,,
Unterstützung der Grundeigentümer zwischen dem Gestaltungsplangebiet «Thurgauerstrasse» und der SBB-Bahnlinie hinsichtlich der Aktivierung der BZO-Reserve in diesem Gebiet,Postulat,695b7db8c189466ba70a9af3751f7529,2018-10-03T00:00:00.000,Sven Sobernheim,GLP,Christian Monn,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Optimierung der Hitzevorsorge bei der Entwicklung des Areals Thurgauerstrasse,Postulat,29fc5d6d8806498daea0a8450c019f20,2018-10-03T00:00:00.000,Ann-Catherine Nabholz,GLP,Christian Monn,GLP,Abgeschlossen,Rückzug,Rückzug
Einführung einer Tempo-30-Zone in der Schaufelberger- und Schweighofstrasse sowie in der Ämtler- und Gutstrasse,Postulat,6bdfedf8f9f6435484aa3eda30f39b7c,2018-10-24T00:00:00.000,Guido Hüni,GLP,Markus Baumann,GLP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Anreicherung des Willkommenspakets der Stadt mit Informationen und Gutscheinen für Kultur-, Sport- und weitere Angebote",Postulat,40d8e57f16764a7ca7f29da16f784f19,2018-11-07T00:00:00.000,Urs Helfenstein,SP,Matthias Wiesmann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Ergänzung der IT-Strategie der Stadt 2020–2024 mit der Stossrichtung 7 «Civic Tech»,Postulat,29d92fb6b5614d4c9944db3a81eefed1,2018-11-07T00:00:00.000,Corina Gredig,GLP,Jean-Daniel Strub,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Einführung einer einheitlichen digitalen ID für alle Bewohnerinnen und Bewohner der Stadt,Postulat,0a9cd7d66c7745868f8af77deff4a7b6,2018-11-14T00:00:00.000,Isabel Garcia,FDP,Corina Gredig,GLP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Kapazitätsprobleme auf ausgewählten Tramlinien der Stadt, Beurteilung der Auslastung und der Kapazitäten auf gewissen Linien sowie betriebliche und vertragliche Voraussetzungen für eine Verlagerung von Kapazitätsreserven",Schriftliche Anfrage,6cfdc53425a945b985241ccd02789e7d,2018-11-14T00:00:00.000,Sven Sobernheim,GLP,Ann-Catherine Nabholz,GLP,Abgeschlossen,,
Realisierung eines intergenerativen Spielplatzes im Bereich der kommunalen Wohnsiedlung Leutschenbach,Postulat,15c13413161b49828ab2dd003a866e9a,2018-11-21T00:00:00.000,Pirmin Meyer,GLP,Zilla Roose,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Generationendurchmischter Wohnraum als Standard bei städtischen Bauprojekten im Rahmen der Umsetzung der Altersstrategie,Postulat,478cc93f786e4c47a207e72617724e22,2018-11-21T00:00:00.000,Corina Gredig,GLP,Guy Krayenbühl,GLP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Erweiterung des Betriebskonzepts des Letzigrund-Stadions auf die Mannschafts-Rasensportarten American Football und Rugby,Postulat,a38f0128f4d74c2cb45e80a7a669997d,2018-11-28T00:00:00.000,Isabel Garcia,FDP,Markus Baumann,GLP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Parkplatzpolitik der Stadt, Beurteilung des Konflikts zwischen privat erstellten Pflichtparkplätzen und dem Angebot der Blauen Zone und des sich daraus ergebenden möglichen Handlungsbedarfs",Interpellation,4f50a723966744ba86a1caf1278cbe9c,2018-12-05T00:00:00.000,Sven Sobernheim,GLP,Ann-Catherine Nabholz,GLP,Abgeschlossen,Rückzug,Rückzug
Auflistung der wichtigen technischen Infrastrukturen in gemieteten Liegenschaften und Vergleich der damit verbundenen Mieten sowie mögliche strategische Überlegungen zur Überführung dieser Infrastrukturen in städtische Liegenschaften,Schriftliche Anfrage,f829ee83840844d88724886cd2d83ac5,2018-12-05T00:00:00.000,Sven Sobernheim,GLP,Christian Monn,GLP,Abgeschlossen,,
Verbesserung der Fahrplanstabilität der Trolleybus-Linie 31 durch intelligente Konzepte der Verkehrssteuerung,Postulat,c54c60de29d24a7e97e8e28af114aa65,2018-12-05T00:00:00.000,Ann-Catherine Nabholz,GLP,Sven Sobernheim,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Offenlegung der Leistungsvereinbarungen bei der Beratung von subventionsbetreffenden Weisungen in den Spezialkommissionen des Gemeinderats,Postulat,27f7383d87854b39b1d0f7df5128b9e5,2018-12-19T00:00:00.000,Markus Merki,GLP,Isabel Garcia,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Anpassung der Bau- und Zonenordnung (BZO), Aufhebung des Mehrlängenzuschlags",Motion,2d1ce6e4782b48c4a86332b34f96309e,2018-12-19T00:00:00.000,Ann-Catherine Nabholz,GLP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Einführung eines digitalen Reservationssystems für die von der Stadt betriebenen Sportstätten,Postulat,492e21ece2384b16b9358d3d550973cf,2019-01-09T00:00:00.000,Isabel Garcia,FDP,Markus Baumann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Ausgleich der kommunalen Sozialkosten innerhalb des Kantons, Beurteilung der Ungerechtigkeiten beim Ausgleich von Soziallasten und Möglichkeiten für einen gerechteren Soziallastenausgleich sowie weitere bekannte Vorhaben zur Umverteilung von Kosten vom Kanton zu den Gemeinden",Interpellation,92eeca21f4514add9cac9b59c14f6124,2019-01-23T00:00:00.000,Markus Baumann,GLP,Marcel Tobler,SP,Abgeschlossen,,
Berücksichtigung der spezifischen Bedürfnisse der LGBTIQ-Bevölkerungsgruppe im Rahmen der neuen Altersstrategie,Postulat,c548af8d85eb4017bff7d689e9c70905,2019-01-30T00:00:00.000,Markus Baumann,GLP,Marco Denoth,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Standort für den Weiterbetrieb des Impact Hubs zur Förderung von Unternehmerinnen und Unternehmern in Zürich,Postulat,69c919c01024467d947f39db43f44bda,2019-02-06T00:00:00.000,Pirmin Meyer,GLP,Marcel Tobler,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Markierung von Fussgängerstreifen, wo sie der Sicherheit der Bevölkerung dienen",Postulat,90692879bb6a40dd94e0be5ff2e2ae0e,2019-02-06T00:00:00.000,Pascal Lamprecht,SP,Sven Sobernheim,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Behindertengerechte Zugänge zur Seilbahn Rigiblick, geplante Massnahmen und Zeitpläne für die Haltestellen Hadlaubstrasse und Goldauerstrasse sowie Darlegung der Situation für die Dolderbahn",Schriftliche Anfrage,6daf7eda0bc24955b10045b71113691a,2019-02-27T00:00:00.000,Matthias Wiesmann,GLP,Ronny Siev,GLP,Abgeschlossen,,
Implementierung einer flexiblen Tiefgaragenbewirtschaftung beim Sportzentrum Oerlikon,Postulat,b85707b82c774462ac97bb11851fa547,2019-02-27T00:00:00.000,Markus Merki,GLP,Isabel Garcia,FDP,Abgeschlossen,Rückzug,Rückzug
"Studie des Bundesamts für Gesundheit über die Luftqualität in den Schulräumen, Relevanz der Studienergebnisse für die städtischen Schulen und Resultate allfälliger eigener Messungen betreffend Stoffkonzentrationen in den Klassenräumen sowie städtische Zielvorgaben für die Innenluft-Richtwerte von CO2",Schriftliche Anfrage,dd10e873fabf4079a1cfa47bdf439e24,2019-03-13T00:00:00.000,Christian Monn,GLP,Isabel Garcia,FDP,Abgeschlossen,,
"Studie zum Projekt Tanz- & Theaterlandschaft Zürich, Interpretation der im Studienauftrag definierten Lücken und den erzielten Studienresultaten sowie der definierten Budgetneutralität und der Erhöhung des Budgets, Hintergründe zum Entzug der Kompetenz des Gemeinderats betreffend Beschlussfassung über die Unterstützung der Institutionen",Interpellation,3b8980da9b0347bf825b64c4cf578ab2,2019-03-13T00:00:00.000,Markus Merki,GLP,Stefan Urech,SVP,Abgeschlossen,,
Ausgestaltung der Gebührenregeln für Free-floating Zweiradangebote hinsichtlich eines vielfältigen und effektiv nachgefragten Angebots,Postulat,404ce52fd5d34beea9ccd9751f70a027,2019-03-13T00:00:00.000,Sven Sobernheim,GLP,Andri Silberschmidt,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Unterstützung der Nichtregierungsorganisationen (NGOs) im Bereich der Beratung von Sexarbeitenden bei der Einführung von digitalen Angeboten,Postulat,76962ea7b49e4f5682c95e17a714e3e1,2019-03-20T00:00:00.000,Markus Baumann,GLP,Marco Geissbühler,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Umgestaltung der Thurgauerstrasse zwischen Binzmühlestrasse und Stadtgrenze,Motion,784400994f844837ac483f474bf3eace,2019-04-03T00:00:00.000,Markus Knauss,Grüne,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Neugestaltung von benutzerfreundlichen und behindertengerechten Haltestellen für Tram und Bus am Klusplatz unter Mitwirkung des Quartiers,Motion,c97e28ba03084569b6b4430fe5d49d9c,2019-04-03T00:00:00.000,Hans Jörg Käppeli,SP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Neugestaltung von benutzerfreundlichen und behindertengerechten Haltestellen für Tram und Bus am Klusplatz unter Mitwirkung des Quartiers,Motion,c97e28ba03084569b6b4430fe5d49d9c,2019-04-03T00:00:00.000,Hans Jörg Käppeli,SP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, SK SID/V (Spezialkommission Sicherheitsdepartement/Verkehr)",Überweisung
Neugestaltung von benutzerfreundlichen und behindertengerechten Haltestellen für Tram und Bus am Klusplatz unter Mitwirkung des Quartiers,Motion,c97e28ba03084569b6b4430fe5d49d9c,2019-04-03T00:00:00.000,Hans Jörg Käppeli,SP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, SK SID/V (Sachkommission Sicherheitsdepartement/Verkehr)",Überweisung
"Flugreisen von städtischen Angestellten und Behördenmitgliedern, Anzahl der Flüge innerhalb Europa und nach Übersee in Erfüllung einer städtischen Aufgabe sowie Angaben über die geleisteten CO2-Kompensationen",Schriftliche Anfrage,41fa94620ada4edf9f9a6b43d2bb02f5,2019-04-10T00:00:00.000,Guido Hüni,GLP,Ronny Siev,GLP,Abgeschlossen,,
Sicherung des Raumbedarfs der Fachschule Viventa Jungholz in städtischen Liegenschaften,Postulat,bcdcbd2c86074ff39e3dcd83ef69ab01,2019-04-17T00:00:00.000,Florian Blättler,SP,Christian Monn,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Pilotprojekte für neue Technologien zur Produktion von Strom im Mobilitätsbereich,Postulat,dd20c72f21ac4529bd620afbc21b36bc,2019-04-17T00:00:00.000,Guido Hüni,GLP,Christian Monn,GLP,Abgeschlossen,Rückzug,Rückzug
"Städtisches Beschaffungswesen, bisherige Erfahrungen mit der «Richtlinie ökologische Anforderungen im Beschaffungsprozess» und Einschätzung des Beitrags zur 2000-Watt-Gesellschaft sowie Schritte für die Weiterentwicklung des städtischen Beschaffungswesens in Richtung Qualitätswettbewerb, Innovation und Nachhaltigkeit",Schriftliche Anfrage,a6426a6f45ab4adfb4dc60a004077053,2019-05-22T00:00:00.000,Martina Novak,GLP,Isabel Garcia,FDP,Abgeschlossen,,
Pilotversuch für die getrennte Sammlung von Wertstoffen in Zusammenarbeit mit professionellen Recycling-Organisationen,Postulat,abca1da53d6c46c3bdac71c976849bfb,2019-06-05T00:00:00.000,Sebastian Vogel,FDP,Guido Hüni,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Schaffung eines angemessenen Angebots an Veloabstellplätzen im Gebiet der oberen Bahnhofstrasse,Postulat,f0cf8727d94e458ca947ec24ea65f6ef,2019-06-05T00:00:00.000,Andrea Leitner Verhoeven,AL,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Automatische Voranmeldung auf wichtigen Velorouten,Postulat,536bcec2935c4430a06e6fcc15ac565c,2019-06-12T00:00:00.000,Sven Sobernheim,GLP,Res Marti,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Flexible und preisgünstige Büroräume für wachsende Startups,Postulat,569f8b081f5e416f8aa5aba79bce32d9,2019-06-19T00:00:00.000,Alexander Brunner,FDP,Pirmin Meyer,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Berücksichtigung der Quartieranliegen im Rahmen der Sanierung der Umgebung des Schulhauses Buhnrain,Postulat,6ac0dbd225fc45ebaae9ffeb70faf37f,2019-06-19T00:00:00.000,Markus Merki,GLP,Ernst Danner,EVP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Verbesserung der Abstellmöglichkeiten für Fahrräder bei den Sportplätzen Hardhof,Postulat,1057dce96d574ff3b0785bd41af090ec,2019-07-03T00:00:00.000,Zilla Roose,SP,Markus Merki,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Umsetzung der Velohauptroute vom Bahnhof Oerlikon bis zum Seebacherplatz gemäss Qualitätsstandard A des Masterplans Velo,Motion,28e3c6c5ae75447684d54d902d5424d3,2019-07-03T00:00:00.000,Markus Merki,GLP,Heidi Egger,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Zulassung von Ausländerinnen und Ausländern mit einer C-Bewilligung für die Tätigkeit als bewaffnete Polizistinnen und Polizisten,Motion,3e4d684d690549d0b8e4e4f5adbc47b3,2019-08-21T00:00:00.000,Shaibal Roy,GLP,Marcel Bührig,Grüne,Abgeschlossen,Umwandlung in Postulat,Überweisung
"Schul- und Betreuungsgebäude in der Stadt, Angaben betreffend Umnutzung von ehemals für schulische Zwecke genutzte Gebäude sowie Kriterien für die Zuteilung von Büroräumlichkeiten für die Verwaltungsabteilungen und Möglichkeiten für eine prioritäre Behandlung der Bedürfnisse nach Schul- und Betreuungsräumen",Schriftliche Anfrage,3149c3c2d98a481a94d4aaeb08f97bd8,2019-08-28T00:00:00.000,Isabel Garcia,FDP,Simone Hofer Frei,GLP,Abgeschlossen,,
"Aufhebung des Schwimmverbots in der Limmat auf der Strecke oder einer Teilstrecke des Limmatschwimmens, Änderung der Allgemeinen Polizeiverordnung unter Berücksichtigung der Interessen der Limmat-Schifffahrt",Postulat,fe8145d00ed24c269d1bc1566892ad58,2019-09-04T00:00:00.000,Guido Hüni,GLP,Shaibal Roy,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Vollständige Deckung des Gasbedarfs der Stadt und ihrer Institutionen durch Biogas,Motion,559cba49e3c24a81a18eeaa87bd7fa77,2019-09-11T00:00:00.000,Guido Hüni,GLP,Sebastian Vogel,FDP,Abgeschlossen,Umwandlung in Postulat,Überweisung
"Grund- und Trinkwasserbelastung mit Pestiziden und deren Abbaustoffen, Ergebnisse der analysierten Quell-, See- und Grundwasserfassungen in der Stadt sowie mögliche Auswirkungen der Klimaerwärmung auf die Trinkwasserqualität",Schriftliche Anfrage,c14cceba03524a838577fe6d98ca0705,2019-09-11T00:00:00.000,Christian Monn,GLP,Isabel Garcia,FDP,Abgeschlossen,,
"Bau von Solaranlagen ab dem Jahr 2011, Zahlen betreffend Baugesuchen und Bewilligungen von Solaranlagen sowie Kriterien für den Bau solcher Anlagen in Kernzonen und an Fassaden",Schriftliche Anfrage,c583b4b12f4f4abe83d81646d18c3e4d,2019-09-18T00:00:00.000,Christian Monn,GLP,Martina Novak,GLP,Abgeschlossen,,
"Gewalt im Umfeld der Fussball Clubs, Konzept von Doppelpass in der Zusammenarbeit mit den Clubs und Einbezug der Fans und des Vereins Fansozialarbeit sowie Umsetzung von konkreten präventiven und repressiven Massnahmen",Schriftliche Anfrage,c75c7f39b7e8492f872e5ad1b589c76c,2019-09-18T00:00:00.000,Markus Baumann,GLP,Pascal Lamprecht,SP,Abgeschlossen,,
Realisierung einer Pilotanlage für ein Auffangen des bei der Biogasproduktion anfallenden reinen CO2 und für Verwendung im Sinne der Substituierung von Treibhausgasen,Postulat,dd4a8005cd7c4e829df94abcdfa7a6b6,2019-10-23T00:00:00.000,Mathias Egloff,SP,Guido Hüni,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Änderung der Nutzungsplanung auf dem Gebiet Hasenrain,Motion,5dc4c769be08412a99bb2bea844f119d,2019-10-30T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Nutzung der Unterführung beim Zehntenhausplatz als Fahrradunterführung nach der Realisierung des Trams Affoltern,Postulat,89baa8d07187473bad8c730d975d3d6e,2019-11-20T00:00:00.000,Markus Merki,GLP,Andreas Kirstein,AL,Abgeschlossen,Ablehnung,Ablehnung
Öffnung der offenen Rennbahn Oerlikon für weitere ergänzende Nutzungen,Postulat,22c0214562c74c3882dfde19ff34410c,2019-11-27T00:00:00.000,Nicole Giger,SP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Einforderung einer kontinuierlichen Erhöhung des Anteils an erneuerbaren Gasen im Rahmen der Vernehmlassung zum Gasversorgungsgesetz,Postulat,d5d251c9a3c541a0bee87fa8dc8622d4,2019-12-04T00:00:00.000,Guido Hüni,GLP,Sebastian Vogel,FDP,Abgeschlossen,Rückzug,Rückzug
"Verwendung der Jubiläumsdividende der Zürcher Kantonalbank ZKB, Kosten für die Verteilung der Gelder für die Realisierung von kreativen Kleinprojekten und Kriterien für deren Unterstützung sowie alternative Verwendungsmöglichkeit im Sinne eines Matching-Fonds zu einzelnen Crowdfunding-Projekten",Schriftliche Anfrage,69a07aabcdda4c7ebaad68be0cfb6963,2019-12-04T00:00:00.000,Guy Krayenbühl,GLP,Pirmin Meyer,GLP,Abgeschlossen,,
Sichere Gestaltung der Überquerung der Limmatstrasse für Fussgängerinnen und Fussgänger im Rahmen der Planung der neuen Busstation,Postulat,06768921d0524b598ef68d8b5c9e60ac,2020-05-06T00:00:00.000,Urs Helfenstein,SP,Shaibal Roy,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Grössere Flexibilität für mögliche Ferienkäufe, unbezahlte Ferien oder temporäre Reduktion von Arbeitspensen für städtische Mitarbeitende",Postulat,3440f43a3e69450ea5f6ff1a7e864e4e,2020-06-03T00:00:00.000,Guy Krayenbühl,GLP,Shaibal Roy,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Zeitlich begrenzte berufliche Grundbildungsmassnahmen zur Vorbeugung von Jugendarbeitslosigkeit,Postulat,32d5564fbb2f44e3bd4de01f6e9924ca,2020-06-17T00:00:00.000,Markus Baumann,GLP,Isabel Garcia,FDP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Umgestaltung der Weinbergstrasse zwischen der Röslistrasse und dem Schaffhauserplatz sowie Einführung von Tempo 30 tagsüber,Postulat,acbf96d281a44d9d822211ff80e545a3,2020-07-08T00:00:00.000,Simone Hofer Frei,GLP,Ronny Siev,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Befreiung der bestehenden Fussgänger- und Begegnungszonen vom motorisierten Individualverkehr,Postulat,6e084cb979d14287be02b9528c3f1497,2020-07-08T00:00:00.000,Simone Brander,SP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Individualisierung und Flexibilisierung der Leistungseinkäufe sowie Vergabe von Aufträgen an Drittanbieter aus dem geschützten und regulären Arbeitsmarkt, Anpassung der Verordnung über die Bewilligung von Ausgaben für die Arbeitsintegration",Motion,7e9395ca6a6c4c6990264137641b7f98,2020-07-08T00:00:00.000,Markus Baumann,GLP,Nadia Huberson,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Massnahmen und Anreize für Grossveranstaltungen im Zusammenhang mit der Pandemie-Situation, Möglichkeiten für das Streamen von Auswärtsspielen der Zürcher Fussballclubs und von Kulturveranstaltungen sowie Angabe der Belegung von Fahrzeugen in Echtzeit über die ZüriMobil-App und Massnahmen betreffend Schneeräumung der Fuss- und Velowege",Interpellation,1cbe426f71d94df382f9d90602b1293d,2020-08-19T00:00:00.000,Sven Sobernheim,GLP,Beat Oberholzer,GLP,Abgeschlossen,Rückzug,Rückzug
Bessere Gewichtung der Minderheitsmeinungen in der neu gestalteten Abstimmungszeitung,Postulat,57d5211a44b34953ab409a92283f56ab,2020-08-26T00:00:00.000,Martina Zürcher,FDP,Markus Merki,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Erhöhung der Anzahl Street Workout Parks,Postulat,e4550d9c953e4d2eb97fdd822129f753,2020-09-02T00:00:00.000,Guido Hüni,GLP,Shaibal Roy,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Einrichtung einer Datenbank für das Hinterlegen von Patientenverfügungen mit Zugriff für die städtischen und privaten Gesundheitsdienste im Notfall,Postulat,cbca6d8f4ef64754892463d93c806613,2020-09-23T00:00:00.000,Guy Krayenbühl,GLP,Corina Ursprung,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Masterplan der Baugenossenschaft im Gut, Einbezug der Quartierbevölkerung, Erreichung des angestrebten Verdichtungswerts, Auswirkungen der Neubauten auf die Schulraumplanung, Prüfung eines Mobilitätskonzepts für autoarme Nutzungen und einer Energieversorgung aus nicht fossilen Energieträgern sowie Angaben zu einer allfälligen Mehrwertabgabe",Schriftliche Anfrage,ca7abdf2aa4648b1b3a35a9c10fc4bdb,2020-09-23T00:00:00.000,Markus Baumann,GLP,Beat Oberholzer,GLP,Abgeschlossen,,
"Vermeidung unnötiger Lichtemissionen, Sensibilisierung der Bevölkerung",Postulat,6390a94caf4c4eda8598fc70415ddbf8,2020-09-30T00:00:00.000,Gabriele Kisker,Grüne,Ann-Catherine Nabholz,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Umstellung der Strassenbeleuchtung und der Beleuchtung öffentlicher Räume und Infrastruktur auf LED sowie Reduzierung des Energieverbrauchs auf ein Minimum,Motion,af521c294ddb4de4bab424702c8504bc,2020-09-30T00:00:00.000,Ann-Catherine Nabholz,GLP,Gabriele Kisker,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Vermeidung unnötiger Lichtemissionen im Aussenraum, Schaffung einer verbindlichen Vorgabe",Postulat,f788c1c024fc4424934c9c90ecb575a9,2020-09-30T00:00:00.000,Gabriele Kisker,Grüne,Ann-Catherine Nabholz,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
