Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Einführung eines Einheitstarifs für den Anschluss und Bezug von Fernwärme gemäss Energieplan,Motion,0c316db9c9784e7fab4ab5a561123e25,2022-09-14T00:00:00.000,Andreas Kirstein,AL,Albert Leiser,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Weiterentwicklung des Photovoltaik-Contracting-Angebots im Bereich Agro-Photovoltaik hinsichtlich von All-in-One-Lösungen in der Landwirtschaft,Postulat,2f3790654909481d9d39b787c07d23de,2022-09-14T00:00:00.000,Dominik Waser,Grüne,Jehuda Spielman,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Prüfung der Aktivitäten rund um die Digitalisierung hinsichtlich der Interoperabilität zwischen den verschiedenen Staatsebenen sowie konsequente Umsetzung des Open Data First-Prinzips,Postulat,49b43293b4b64af7b99be1a9f5773c6d,2022-09-14T00:00:00.000,Selina Frey,GLP,Flurin Capaul,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Veranstaltung vom 9. bis 11. September 2022 auf dem Koch-Areal, Hintergründe zur Bewilligung der Veranstaltung, Notrufe und Lärmbeschwerden über das Wochenende, Vorgehen der Stadtpolizei und Beschlüsse des Sicherheitsdepartements zum Polizeieinsatz sowie Gewährleistung der rechtzeitigen Räumung des Areals",Schriftliche Anfrage,c9199b68745b4d148c181d82f378d8ea,2022-09-14T00:00:00.000,Përparim Avdili,FDP,Albert Leiser,FDP,Abgeschlossen,,
Zusätzlicher Raum bei Schulanlagen zur Umsetzung des Konzepts «Begabungs- und Begabtenförderung in der Stadt Zürich»,Postulat,4e40f527c09b443fbc577afea076462b,2022-09-14T00:00:00.000,Balz Bürgisser,Grüne,Yasmine Bourgeois,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Versand von Abstimmungsempfehlungen durch Betreuungspersonen über den Schulmail-Account, Richtlinien für den Mail-Versand durch Mitarbeitende der 
Verwaltung und Massnahmen zur Verhinderung von Massenversänden sowie Schulung von Lehr- und Betreuungspersonen zur Sicherstellung der politischen Neutralität der Schule",Schriftliche Anfrage,10a04ae0e3aa4ceb9cf5bce401e46e60,2022-09-21T00:00:00.000,Yasmine Bourgeois,FDP,Severin Pflüger,FDP,Abgeschlossen,,
"Versand der Abstimmungsunterlagen, Reduktion des Umfangs mittels eines Opt-Out-Verfahrens",Postulat,bee54ad58e484932a315b717fe283f21,2022-09-28T00:00:00.000,Flurin Capaul,FDP,Jehuda Spielman,FDP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Umsetzung der Velovorzugsroute in Zürich-Affoltern, Angaben zu den Fahrradunfällen und Folgen auf der geplanten Route sowie Darlegung der planungsrechtlichen Verfahren hinsichtlich des Landerwerbs für die Erstellung der Trottoirs",Schriftliche Anfrage,cced027b29f64fb9b084e1983ec92f30,2022-09-28T00:00:00.000,Stephan Iten,SVP,Andreas Egli,FDP,Abgeschlossen,,
"Lärmschutzkontrollen bei Betrieben, Ausrückung der zuständigen Organe nur bei einer Meldung aus der Bevölkerung",Postulat,b9516d6689d347599ba5a3443c4beca8,2022-10-05T00:00:00.000,Flurin Capaul,FDP,Martin Bürki,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Städtische Restaurants- und Restaurationsbetriebe, Hintergründe zu den Ausschreibungen und Vergaben, Ausführungen zum verlangten Kriterium Innovation, Umgang mit Härtefällen und Sicherstellung der eigenen Branchenkenntnisse zur Bestimmung der Konzepte sowie mögliche Verkäufe von Restaurationsbetrieben",Schriftliche Anfrage,cdc0e97af8dd4dae8a47c58f7123072b,2022-10-05T00:00:00.000,Flurin Capaul,FDP,Dominique Zygmont,FDP,Abgeschlossen,,
"Abonnementsverkäufe und Auslastung im Schauspielhaus, Ausmass des Rückgangs im laufenden Jahr, Entwicklung der Anzahl Eintritte, wirtschaftliche Konsequenzen und Ziele betreffend Eigenfinanzierungsgrad sowie Sicherstellung der Diversität auch im Bezug zur gesellschaftlichen Realität in der Schweiz",Schriftliche Anfrage,03f1fdf6b6d142a187f549ba0f05d016,2022-10-05T00:00:00.000,Yasmine Bourgeois,FDP,Flurin Capaul,FDP,Abgeschlossen,,
"Leistung eines Beitrags zum Wiederaufbau der Ukraine insbesondere in den Bereichen Stadtentwicklung, Verkehr und Wohnungsbau",Postulat,cd506a8dd47d403c96fd5707f752ebaf,2022-10-26T00:00:00.000,Rahel Habegger,SP,Cathrine Pauli,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Abonnementsverkäufe und Auslastung im Schauspielhaus, Umsetzung des Aufhebungsentscheids zu den pandemiebedingten Einschränkungen, Auslastung in Korrelation zu den verfügbaren Plätzen, Angaben zur Geschäftsleitung, zum Anstellungsgrad der aktuellen Intendanten und zur Fluktuation der Mitarbeitenden sowie zu den gespielten Stücken und Veranstaltungen",Schriftliche Anfrage,48e720c32d2a476eab92569874654e87,2022-10-26T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Bewilligungen für temporäre Standplätze für medizinische Test- und Impfcenter, möglicher Abbau regulatorischer Vorgaben und Vordefinierung geeigneter Standplätze sowie Vorgabe von Rahmenbedingungen und Standards für ein 
beschleunigtes Bewilligungsverfahren",Schriftliche Anfrage,0769fc9bd9b04a41a08c069ef9c4b390,2022-10-26T00:00:00.000,Frank Rühli,FDP,Deborah Wettstein,FDP,Abgeschlossen,,
Sanierung des zur Schulanlage Allenmoos gehörenden Naturrasenplatzes hinsichtlich einer zusätzlichen Nutzung für Trainings des FC Unterstrass an den Abenden der Wintermonate,Postulat,e12d7542d60540f58adf6a0700bec716,2022-10-26T00:00:00.000,Sebastian Vogel,FDP,Marco Denoth,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Geplante Stellenerhöhung für die Stadtpolizei, Konsequenzen bei einer hälftigen Bewilligung der Erhöhung hinsichtlich den Dienstleistungen und den Fahndungs- und Strafverfolgungsaktivitäten und mögliche Auswirkungen auf die Kriminalitätsrate sowie Folgen für die Überstundensaldi und Wochenendbelastungen der Mitarbeitenden",Schriftliche Anfrage,de1ea71382d34b6e91035f51ce1590c4,2022-10-26T00:00:00.000,Andreas Egli,FDP,Claudio Zihlmann,FDP,Abgeschlossen,,
Verzicht auf ein Bewilligungsverfahren für kleine Quartierveranstaltungen die nicht-gewinnorientiert und ehrenamtlich organisiert werden,Postulat,1ba8e40f40fe41a59af7e7eaf3891d06,2022-11-02T00:00:00.000,Martin Bürki,FDP,Flurin Capaul,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Langjährige Quartierveranstaltungen, Erteilung einer formlosen Bewilligung ohne weitere Auflagen",Postulat,e56feda912bc40308d3d0c37d230e27d,2022-11-02T00:00:00.000,Flurin Capaul,FDP,Martin Bürki,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Kauf eines Mehrfamilienhauses an der Motorenstrasse 21, Angaben zum Versicherungswert, zur Grundstücksfläche und dem Bodenpreis, Einordnung der Rendite, der Mieten und der Arrondierungsabsicht sowie möglicher Mittelbedarf für die Erreichung des Drittelsziels",Schriftliche Anfrage,1a975d1970984e16abab3130b8600897,2022-11-09T00:00:00.000,Severin Pflüger,FDP,Martina Zürcher,FDP,Abgeschlossen,,
"Impfsituation beim städtischen Personal, Nutzung der Gratisimpfungen, Angebot an nicht-evidenzbasierten Massnahmen zur Stärkung des Immunsystems, Motivierung des Personals in Gesundheits- und Pflegeeinrichtungen sowie Übersicht über die Weiterbildungen, in denen die Immunisierung thematisiert wird",Schriftliche Anfrage,f83b2d52d2ae4afb86448ac9e882b097,2022-11-09T00:00:00.000,Anna Graff,SP,Frank Rühli,FDP,Abgeschlossen,,
"Städtische Wohnbaupolitik, Hürden für den Bau von preiswertem Wohnraum durch Private oder institutionelle Wohnbauträger, Beeinflussbarkeit dieser Hürden, möglicher Abbau regulatorischer Vorgaben und Massnahmen zur 
Förderung des Baus von mehr und preiswertem Wohnraum",Interpellation,e7308b943fd84200aaaf4810a12f8db2,2022-11-16T00:00:00.000,Hans Dellenbach,FDP,Martina Zürcher,FDP,Abgeschlossen,,
"Energie-Coaching, moderate Erhöhung der Kostenbeteiligung der Kundschaft",Postulat,07409c530d4d43778bb92137b9daebbb,2022-11-16T00:00:00.000,David Ondraschek,Die Mitte,Deborah Wettstein,FDP,Abgeschlossen,Ablehnung,Ablehnung
Prioritäre Verpachtung der freiwerdenden Gärten im Gebiet Hasenrain an den Familiengartenverein Altstetten-Albisrieden,Postulat,17435cffab394eb1a29c805128e22fd0,2022-11-16T00:00:00.000,Flurin Capaul,FDP,Claudia Rabelbauer,EVP,Abgeschlossen,Rückzug,Rückzug
"Städtisches Mobilitätskonzept, Rolle des öffentlichen Verkehrs, Vor- und Nachteile eines Eigentrassees gegenüber Mischflächen, Veränderung des Verhältnisses dieser Flächen und Entwicklung des Passagieraufkommens des öffentlichen Verkehrs sowie Voraussetzungen zur Sicherstellung des öffentlichen Verkehrs als attraktives Transportmittel",Schriftliche Anfrage,4d47c06921a0459284192501f127dd6a,2022-11-23T00:00:00.000,Mélissa Dufournet,FDP,Andreas Egli,FDP,Abgeschlossen,,
Berichterstattung über die Wirkungen der zusätzlich eingesetzten Mittel für die subventionierten Kita-Plätze und die umgesetzten Qualitätsverbesserungen,Postulat,69c98f48d5934fed8b0f6a44000dd370,2022-11-30T00:00:00.000,Marcel Tobler,SP,Mélissa Dufournet,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Intensivere Nutzung der Schulrasenfelder durch bauliche oder betriebliche Massnahmen,Postulat,5c5a909c099c43cea5e8470466bb01a6,2022-11-30T00:00:00.000,Lisa Diggelmann,SP,Cathrine Pauli,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Vorfälle in den ehemaligen «Gammelhäusern» an der Neufrankengasse 6 und 14, Massnahmen gegen die Ausbreitung der Drogenszene, Situation betreffend Personen mit psychischen Erkrankungen, Beurteilung der Konzentration des Angebots auf den Standort und Massnahmen zur Erhaltung der Aufwertung des Langstrassenquartiers",Schriftliche Anfrage,950e542c79004ae8b262916168d0677b,2022-12-07T00:00:00.000,Roger Suter,FDP,Deborah Wettstein,FDP,Abgeschlossen,,
Öffentliche Informationsveranstaltung für einen frühzeitigen Einbezug von unmittelbar betroffenen Anwohnenden und weiteren Betroffenen bei der Planung und Umsetzung von Velovorzugsrouten,Postulat,1c4dc4270e0a48109305e6760fff2335,2022-12-07T00:00:00.000,David Ondraschek,Die Mitte,Andreas Egli,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Bericht betreffend Erzeugung von 1,5 TWh elektrischer Energie aus Windanlagen in der Schweiz bis 2050 durch das ewz",Postulat,2e6e68e9caed4f93bc6f67a064efd9b8,2022-12-07T00:00:00.000,Florian Blättler,SP,Sebastian Vogel,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Vertragsverlängerung der Leitung des Schauspielhauses, mögliche Forderungen betreffend das Budget, Exklusivität während den Verhandlungen und Konditionen im Vergleich mit anderen Theaterinstitutionen sowie rechtliche Grundlagen zur Ergänzung des bestehenden Subventionsvertrags",Schriftliche Anfrage,d4436a0e97004be7a2b4d6733579c9b1,2022-12-21T00:00:00.000,Yasmine Bourgeois,FDP,Flurin Capaul,FDP,Abgeschlossen,,
"Entsorgung von städtischen Datenträgern, Art der Entsorgung der lesbaren Datenträger, involvierte Stellen, Kriterien zur Freigabe der Entsorgung und Hintergründe zur Umsetzung der Records Management Policy",Schriftliche Anfrage,2278dfb0cf0e4c9eace1326e773f0a7b,2022-12-21T00:00:00.000,Flurin Capaul,FDP,Michael Schmid,AL,Abgeschlossen,,
Ausweisung des tatsächlichen Werts der städtischen Kunstsammlung,Postulat,558e8ed04e934146b1b75b337e9f71d8,2022-12-21T00:00:00.000,Flurin Capaul,FDP,Cathrine Pauli,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Prinzip «Zahle, so viel du willst» in öffentlichen Kulturhäusern, Einschätzung des Prinzips, Auflistung der Kulturhäuser und der Vorstellungen, Darlegung allfälliger Regelungen sowie Auswirkungen auf die städtischen Zuwendungen",Schriftliche Anfrage,2bf2efea253e462f9370c11bdcf820c9,2023-01-11T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
Verlegung des nichtmotorisierten Verkehrs von den Hauptverkehrsachsen auf die Velovorzugsrouten,Postulat,29f874834646497783fefabf50b0d763,2023-01-11T00:00:00.000,David Ondraschek,Die Mitte,Andreas Egli,FDP,InBearbeitung,Ablehnung,Ablehnung
"Schauspielhaus Zürich, Auswahl der Vorstellungen mit englischen Übertiteln, Anerkennung und Aufmerksamkeit englischsprachiger Leitmedien seit Einführung der Übertitel, Anzahl der Besucherinnen und Besucher, der Mitarbeitenden des Schauspielhauses sowie der am «Publikumsgipfel» teilnehmenden Personen ohne Deutschkenntnisse, Begründung des Verzichts auf Übertitel in anderen 
Landessprachen",Schriftliche Anfrage,89f816d317aa4509a93a11e6e7f49709,2023-02-01T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Städtisches Verkehrskonzept während der Rad-WM 2024, Gewährleistung der Mobilität der Bevölkerung und der Betriebe, Kapazitäten und mögliche Kostenübernahme für zusätzliche Blaulichteinsätze, Entschädigung der Betriebe bei 
allfälligen Einbussen sowie Beurteilung der fehlenden Koordination respektive Kommunikation der städtischen und kantonalen Massnahmen",Schriftliche Anfrage,9a302e2d1e684c96bef16f3467e19e65,2023-02-01T00:00:00.000,Roger Suter,FDP,Susanne Brunner,SVP,Abgeschlossen,,
"Abonnementsverkäufe und Auslastung im Schauspielhaus, detaillierte Angaben zu den Eintritten und Gesamteinnahmen, in Zürich angemeldete Direktionsmitglieder und festangestellte Bühnenmitglieder ohne Mitwirkung in einem Stück im Jahr 2022",Schriftliche Anfrage,cf569a2d5dd54e50a70e1e2f88102ec7,2023-02-08T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Schauspielhaus, Entwicklung des Kulturbetriebs, Erfassung der Gratiskarten, Massnahmen zur Kompensation der Mindereinnahmen, Ziele zu den Publikumszahlen und Umsätzen sowie Angaben zu den Abschreibungen und stillen Reserven",Schriftliche Anfrage,6e29980205354e168c71bef07e7332bb,2023-02-08T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Flächendeckende Einführung von Tempo 30, Auswirkungen für das ansässige Gewerbe, mögliche finanzielle Einbussen und Steuerausfälle sowie Aufschlüsselung der Steuererträge nach Branchen",Schriftliche Anfrage,030181ccde574779aaa3699ebee48147,2023-02-08T00:00:00.000,Stephan Iten,SVP,Christian Huser,FDP,InBearbeitung,,
"Besetzung des Koch-Areals und Ausschreitungen vor der Räumung, Einleitung strafrechtlicher Abklärungen, Reinigungs- und Entsorgungsaufwand von ERZ, Verrechnung der Kosten für die campierenden Personen auf dem Hardturmareal, Verhinderung der Besammlung bei vergleichbaren unbewilligten Demonstrationen, Deckung der Schäden durch die Stadt und mögliche kritische Gesamtschau zur Besetzung des Koch-Areals",Schriftliche Anfrage,c570ce72f4d1486d8439f76a6b8d057b,2023-03-01T00:00:00.000,Andreas Egli,FDP,Claudio Zihlmann,FDP,Abgeschlossen,,
"Intervention der Stadtpolizei beim Bundesasylzentrum (BAZ), Anzahl Einsätze mit Aufschlüsselung nach Deliktsarten",Schriftliche Anfrage,f64b06c759f742d2bc92839963f9a8e6,2023-03-15T00:00:00.000,Andreas Egli,FDP,Peter Anderegg,EVP,Abgeschlossen,,
"Personalsituation bei der Stadtpolizei, Fluktuation beim Korps über die letzten fünf Jahre, Vergleichszahlen mit anderen schweizerischen Polizeikorps, Kosten bei Abgängen nach der Ausbildung und Massnahmen, um der angespannten 
Situation zu begegnen sowie Entwicklung der medizinisch begründeten Absenzen",Interpellation,7c5476de5bc441d297fcf02dab57e66e,2023-03-15T00:00:00.000,Andreas Egli,FDP,Claudio Zihlmann,FDP,InBearbeitung,,
Provisorische Passerelle oder andere geeignete Massnahme zur sicheren Querung der Thurgauerstrasse für Kindergarten- und Schulkinder,Postulat,2896b7c6eb6f4a6da346e98b591fe165,2023-03-22T00:00:00.000,Andreas Egli,FDP,Sabine Koch,FDP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Verbesserung der Parkplatzsituation in Schwamendingen für Personen mit eingeschränkter Mobilität und Schaffung von Kurzzeitparkplätzen für die Allgemeinheit,Postulat,aa8f5d442d2d4a9db4d9212fd1cd9d63,2023-03-22T00:00:00.000,Frank Rühli,FDP,Michele Romagnolo,SVP,InBearbeitung,Ablehnung,Ablehnung
"Spielplatzangebot für Familien mit Kindern, Entwicklung des Auftragsvolumens an Firmen für Spielplatzbau, Kriterien für die Auswahl der Bewerbenden, Strategie für die Beschaffung von Spielplätzen und Spielgeräten sowie Zielerreichung betreffend Standardisierung des Mobiliars",Schriftliche Anfrage,0575d962e7b24892bbcbc79375eca410,2023-03-29T00:00:00.000,Jehuda Spielman,FDP,Sebastian Vogel,FDP,Abgeschlossen,,
Verzicht auf den Weiterzug des Entscheids des Baurekursgerichts zur Abdeckung der «Mohren-Inschriften» sowie Kontextualisierung der Inschriften,Postulat,991090b76a8c4a80843b8213894c94e5,2023-03-29T00:00:00.000,Stefan Urech,SVP,Yasmine Bourgeois,FDP,Abgeschlossen,Ablehnung,Ablehnung
Vereinigung des Aegerten-Spielplatzes mit dem Park an der Erlachstrasse/Weststrasse/Werdstrasse unter Aufhebung des trennenden Zwischenstücks der Aegertenstrasse,Postulat,f27baa6bfd034fe898e0fab2adf314a3,2023-03-29T00:00:00.000,Jehuda Spielman,FDP,Mélissa Dufournet,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Gewährung städtischer Unterstützungsleistungen in Abhängigkeit der vollen Ausschöpfung der individuell zumutbaren Erwerbstätigkeit,Postulat,40160f1de31441e6a6ebc89b37c262fc,2023-04-05T00:00:00.000,Përparim Avdili,FDP,Hans Dellenbach,FDP,Abgeschlossen,Ablehnung,Ablehnung
Eruierung der Wirtschaftlichkeit von IT-Projekten bei Ersatzbeschaffungen,Postulat,64fa1eb3ddd74c9e854cf29b98e4d147,2023-04-19T00:00:00.000,Flurin Capaul,FDP,Selina Frey,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Illegale Sprayereien und Tags, Strategie und Massnahmen der Stadt, Thematisierung bei der Fan- und Jugendarbeit, vermehrte Polizeipatrouillen, Ausgaben für die Entfernung der Sprayereien und Schätzung des jährlichen Schadens sowie Anzahl Verzeigungen",Schriftliche Anfrage,443cda2df4e844d19d0c90563a9dcf2e,2023-04-19T00:00:00.000,Martina Zürcher,FDP,Johann Widmer,SVP,Abgeschlossen,,
"Neues Unterrichtsmaterial zu den kolonialen Verstrickungen Zürichs, Hintergründe zur Auftragserteilung, weitere Pläne zur Herausgabe eines Unterrichtsmaterials und Vereinbarkeit mit dem verfassungsrechtlichen Gebot der politischen Neutralität der Volksschule sowie Stellungnahme zu den Begriffen «Rassismus» oder «weiss» im Glossar ohne Quellenangabe",Schriftliche Anfrage,c6f848d6c0a74ecb80fffe1b5140cf93,2023-04-19T00:00:00.000,Yasmine Bourgeois,FDP,Përparim Avdili,FDP,Abgeschlossen,,
Schaffung einer Einheit für Impfungen als Teil der Fachstelle Pandemievorsorge,Postulat,40be98cd08c143fcbaa591b6dcdbf102,2023-04-19T00:00:00.000,Anna Graff,SP,Frank Rühli,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Einführung von Aktivitäten zu politischer Bildung für Menschen, die unter Beistandschaft stehen",Postulat,5354312a01ab4730b70d06e944a83882,2023-04-19T00:00:00.000,Islam Alijaj,SP,Yasmine Bourgeois,FDP,InBearbeitung,,
Beschränkung des Anstiegs der Lohnkosten der Stadt ab 2024 auf das Bevölkerungswachstum,Postulat,d4d76a34d7e54405aaeb04f72ac7fd56,2023-04-19T00:00:00.000,Martin Götzl,SVP,Isabel Garcia,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Events auf dem Friedhof Sihlfeld, geplante Aktivitäten und Anlässe, Kriterien für die Durchführung, Beurteilung dieser Events vor dem Hintergrund der denkmalgeschützten Nutzung und der Freihaltezone sowie Budget und Ausgaben für die Events auf allen Friedhöfen der Stadt",Schriftliche Anfrage,1895bceb39a04287a35f0805caf3cbfc,2023-05-24T00:00:00.000,Flurin Capaul,FDP,Niyazi Erdem,SP,Abgeschlossen,,
"Nachhaltigkeitsstrategie der Pensionskasse der Stadt Zürich, Beurteilung der Ziele vor dem Hintergrund des städtischen Klimaziels, Auswahl der Mitglieder des Stiftungsrats und Kriterien zur Wirkungsmessung der Investitionen sowie Berücksichtigung der Auswirkungen der Investitionen auf weitere Themen wie Biodiversität, Soziales oder Finanzierung autokratischer Regimes",Schriftliche Anfrage,8fa2e862dde44c99aed1034f3b7bdcdc,2023-05-24T00:00:00.000,Jürg Rauser,Grüne,Hans Dellenbach,FDP,Abgeschlossen,,
Kostenloses Beratungsangebot zur Vermeidung von Erwerbsarmut bei Selbständigerwerbenden,Postulat,80ae2d073a8540ddbb699173ccb0634f,2023-05-24T00:00:00.000,Mélissa Dufournet,FDP,Ronny Siev,GLP,InBearbeitung,,
"Pilotprojekte mit wissenschaftlicher Begleitung, Auflistung der Projekte seit 2020, Dauer und Kosten, Auswahl der wissenschaftlichen Begleitung und Liste der Pilotprojekte, die in definitive Projekte überführt oder eingestellt wurden",Interpellation,7efce9814e9545de951275b7625a10b0,2023-05-24T00:00:00.000,Yasmine Bourgeois,FDP,Flurin Capaul,FDP,InBearbeitung,,
"Massnahmen zur Verhinderung gewalttätiger Demonstrationen, Angriffe auf Personen und Krawalle",Postulat,d5f9308d7e8c4c11bb4aeedce24e1482,2023-05-31T00:00:00.000,Claudio Zihlmann,FDP,Benedikt Gerth,Die Mitte,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Ersatzbeschaffung für die Betriebsgruppenlösung «safely», Kosten für die Einführung und den Betrieb von «safely», stadtweite Standards, Notwendigkeit der Ersatzbeschaffung und Business Case für das Projekt und die Ersatzbeschaffung",Schriftliche Anfrage,ca99367bdd8b493085951c25d136d233,2023-05-31T00:00:00.000,Flurin Capaul,FDP,Barbara Wiesmann,SP,Abgeschlossen,,
Zentrale Verwaltung aller von der IMMO verwalteten Wohnungen durch Liegenschaften Stadt Zürich (LSZ),Postulat,7abf798adb784649a773a756b3e26392,2023-05-31T00:00:00.000,Flurin Capaul,FDP,Roger Suter,FDP,InBearbeitung,,
Haltung eines Tukans in der Stadtgärtnerei,Postulat,550dcd568b4f466ba5a93bb2f1abfeb6,2023-05-31T00:00:00.000,Flurin Capaul,FDP,Roger Suter,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Angriffe auf Polizeipatrouillen vom 12. Mai 2023, Einschätzung der Vorkommnisse und der Verletzungsgefahr, möglicher Verlauf ohne Einsatz von Gummischrot und Reizstoff, Festnahmen und Straftatbestände sowie Höhe des Sachschadens",Schriftliche Anfrage,0edb094a6cb840579888ecceb97b5194,2023-05-31T00:00:00.000,Claudio Zihlmann,FDP,Andreas Egli,FDP,Abgeschlossen,,
"Pilotprojekt zur Erprobung von Betreuungs- und Hilfsmittelzuschüssen, Evaluierung der Eignung der zuständigen Stelle für die Bedarfsabklärung",Postulat,f542393e32934d738b15cdacc71d95c5,2023-06-07T00:00:00.000,Patrik Brunner,FDP,Florine Angele,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Schauspielhaus Zürich AG, Hintergründe zur Abgabe von Gratiskarten pro Vorstellung, Handhabung der Mehrwertsteuerpflicht, Bildung stiller Reserven, Zusammensetzung des Aktionariats und ausbezahlte Dividenden sowie Zugriff auf frühere Geschäftsberichte und die Statuten",Schriftliche Anfrage,d6c5963bc239475d864451efc74fce88,2023-06-21T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Umsetzung des Gegenvorschlags zur Initiative «Ein Lohn zum Leben», Beurteilung der Armutsbekämpfung hinsichtlich weiterer Ausnahmen, direkte oder indirekte Betroffenheit des Stadtrats und Kontrollen zur Verhinderung von Missbrauch sowie Auswirkungen auf Unternehmen mit einem Leistungslohn-Konzept",Interpellation,86bf80428a7243caa71051f1c08816bc,2023-06-28T00:00:00.000,Martina Zürcher,FDP,Mélissa Dufournet,FDP,InBearbeitung,,
Testweiser Einsatz von mobilem Stadtgrün,Postulat,79db14908f3b462ba9d2fc92394c433c,2023-07-05T00:00:00.000,Flurin Capaul,FDP,Sebastian Vogel,FDP,InBearbeitung,,
Streichung von Dächern mit weisser Farbe als Beitrag zur Hitzeminderung,Postulat,14c7ec05de3d4f6698753fba6160eaac,2023-07-05T00:00:00.000,David Ondraschek,Die Mitte,Sebastian Vogel,FDP,InBearbeitung,,
Vereinheitlichung des Umgangs mit Marken und deren Schutz sowie Beschränkung auf das Minimum,Postulat,1366d9533ac34942ae735c8a5191fd02,2023-07-05T00:00:00.000,Flurin Capaul,FDP,Michael Schmid,FDP,InBearbeitung,,
"Verein Zirkusquartier Zürich, Unterstützung im Rahmen eines eigenen Kulturressorts für das zeitgenössische Zirkusschaffen",Postulat,5983ae001fad4dd18f0ddcbbb594ab6c,2023-07-05T00:00:00.000,Yasmine Bourgeois,FDP,Flurin Capaul,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Ladeinfrastruktur für Elektrofahrzeuge, nationaler und internationaler Vergleich betreffend Dichte der Ladeinfrastruktur, Beteiligung der Stadt an Innovationen, Entwicklung der Anzahl Ladestationen und Sicherstellung einer Lösung für die blaue Zone sowie künftige Deckung des Mehrbedarfs an Strom",Schriftliche Anfrage,e4565152091c4750ae19f20bf7820fe4,2023-07-12T00:00:00.000,Sebastian Vogel,FDP,Andreas Egli,FDP,Abgeschlossen,,
"alba Festival, Sicherstellung der künftigen Durchführung an einem geeigneten Standort in der Stadt",Postulat,056b18b6ba374382943a6d0d027e5b3b,2023-07-12T00:00:00.000,Përparim Avdili,FDP,Reis Luzhnica,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Ausbau der Leitstelle der SZU im Bahnhof Giesshübel, Pläne zur Weiterentwicklung der Leitstelle, Angaben zur möglichen Einführung eines 24-Stunden-Betriebs und Prüfung von Alternativen zum Betrieb einer eigenen Leitstelle",Schriftliche Anfrage,e642f5f7a2cb47fcb509741a4da5b41d,2023-08-23T00:00:00.000,Flurin Capaul,FDP,Jehuda Spielman,FDP,Abgeschlossen,,
"Fördermöglichkeiten für das Theater Keller62, empfohlenes Vorgehen für das Theater, Auflistung alternativer Fördermöglichkeiten, angemessener Eigenfinanzierungsgrad einer Theater- oder Tanzinstitution sowie Kosten und Aufwände für die Verwaltung und die Institutionen im Zusammenhang mit dem Prozess zur Konzeptförderung",Schriftliche Anfrage,d30b3a9f8aa04b32853450519895b653,2023-08-23T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Co-Leitung für das Theater am Hechtplatz, Entwicklung des Mittelbedarfs für die Leitung, Gründe für die Erhöhung des Pensums und Beurteilung der Erhöhung im Vergleich zu den nicht gewährten Konzeptförderbeiträgen",Schriftliche Anfrage,f179d0690d974a50b5a4cf9c54c4bb55,2023-08-23T00:00:00.000,Flurin Capaul,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
